project,num_downloads,month
napari-spatialdata,4042,2022-08-01
scanpy,37183,2022-08-01
scirpy,1248,2022-08-01
scvi-tools,7532,2022-08-01
spatialdata,89,2022-08-01
squidpy,1554,2022-08-01
anndata,39844,2022-07-01
mudata,7036,2022-07-01
muon,2974,2022-07-01
napari-spatialdata,760,2022-07-01
scanpy,31648,2022-07-01
scirpy,2030,2022-07-01
scvi-tools,7306,2022-07-01
spatialdata,86,2022-07-01
squidpy,1543,2022-07-01
anndata,854148,2022-06-01
mudata,5160,2022-06-01
muon,4124,2022-06-01
scanpy,123067,2022-06-01
scirpy,1618,2022-06-01
scvi-tools,7711,2022-06-01
spatialdata,132,2022-06-01
squidpy,1571,2022-06-01
anndata,45604,2022-05-01
mudata,3359,2022-05-01
muon,2139,2022-05-01
scanpy,37194,2022-05-01
scirpy,1161,2022-05-01
scvi-tools,6658,2022-05-01
spatialdata,265,2022-05-01
squidpy,2053,2022-05-01
anndata,43869,2022-04-01
mudata,2040,2022-04-01
muon,1521,2022-04-01
scanpy,39173,2022-04-01
scirpy,1346,2022-04-01
scvi-tools,8467,2022-04-01
squidpy,1591,2022-04-01
anndata,54502,2022-03-01
mudata,3031,2022-03-01
muon,1483,2022-03-01
scanpy,40183,2022-03-01
scirpy,2810,2022-03-01
scvi-tools,9885,2022-03-01
squidpy,1695,2022-03-01
anndata,41351,2022-02-01
mudata,1924,2022-02-01
muon,681,2022-02-01
scanpy,34226,2022-02-01
scirpy,1586,2022-02-01
scvi-tools,6382,2022-02-01
squidpy,900,2022-02-01
anndata,35008,2022-01-01
mudata,1542,2022-01-01
muon,449,2022-01-01
scanpy,33542,2022-01-01
scirpy,1311,2022-01-01
scvi-tools,4422,2022-01-01
squidpy,1348,2022-01-01
anndata,31986,2021-12-01
mudata,2187,2021-12-01
muon,565,2021-12-01
scanpy,44727,2021-12-01
scirpy,1489,2021-12-01
scvi-tools,4046,2021-12-01
squidpy,805,2021-12-01
anndata,35000,2021-11-01
mudata,897,2021-11-01
muon,277,2021-11-01
scanpy,48702,2021-11-01
scirpy,1797,2021-11-01
scvi-tools,4394,2021-11-01
squidpy,1147,2021-11-01
anndata,30495,2021-10-01
mudata,1231,2021-10-01
muon,337,2021-10-01
scanpy,42048,2021-10-01
scirpy,1330,2021-10-01
scvi-tools,5682,2021-10-01
squidpy,984,2021-10-01
anndata,31299,2021-09-01
mudata,1365,2021-09-01
muon,194,2021-09-01
scanpy,40620,2021-09-01
scirpy,1534,2021-09-01
scvi-tools,2804,2021-09-01
squidpy,1267,2021-09-01
anndata,30553,2021-08-01
mudata,108,2021-08-01
muon,212,2021-08-01
scanpy,36109,2021-08-01
scirpy,1888,2021-08-01
scvi-tools,3892,2021-08-01
squidpy,956,2021-08-01
anndata,33689,2021-07-01
mudata,148,2021-07-01
muon,270,2021-07-01
scanpy,40432,2021-07-01
scirpy,2266,2021-07-01
scvi-tools,3800,2021-07-01
squidpy,1579,2021-07-01
anndata,32655,2021-06-01
mudata,304,2021-06-01
muon,477,2021-06-01
scanpy,34944,2021-06-01
scirpy,802,2021-06-01
scvi-tools,2558,2021-06-01
squidpy,651,2021-06-01
anndata,31840,2021-05-01
muon,198,2021-05-01
scanpy,33796,2021-05-01
scirpy,975,2021-05-01
scvi-tools,3553,2021-05-01
squidpy,307,2021-05-01
anndata,32332,2021-04-01
muon,37,2021-04-01
scanpy,34991,2021-04-01
scirpy,1100,2021-04-01
scvi-tools,3102,2021-04-01
squidpy,395,2021-04-01
anndata,34695,2021-03-01
muon,67,2021-03-01
scanpy,35898,2021-03-01
scirpy,1215,2021-03-01
scvi-tools,4501,2021-03-01
squidpy,371,2021-03-01
anndata,27611,2021-02-01
muon,50,2021-02-01
scanpy,29789,2021-02-01
scirpy,1235,2021-02-01
scvi-tools,2825,2021-02-01
squidpy,355,2021-02-01
anndata,31229,2021-01-01
muon,57,2021-01-01
scanpy,29441,2021-01-01
scirpy,1196,2021-01-01
scvi-tools,2022,2021-01-01
anndata,17729,2020-12-01
muon,51,2020-12-01
scanpy,13745,2020-12-01
scirpy,1110,2020-12-01
scvi-tools,2094,2020-12-01
anndata,20649,2020-11-01
muon,67,2020-11-01
scanpy,15790,2020-11-01
scirpy,1184,2020-11-01
scvi-tools,1749,2020-11-01
anndata,22652,2020-10-01
muon,83,2020-10-01
scanpy,16369,2020-10-01
scirpy,1668,2020-10-01
scvi-tools,2045,2020-10-01
anndata,19010,2020-09-01
muon,97,2020-09-01
scanpy,14184,2020-09-01
scirpy,1048,2020-09-01
scvi-tools,2450,2020-09-01
anndata,20369,2020-08-01
muon,251,2020-08-01
scanpy,15130,2020-08-01
scirpy,1140,2020-08-01
anndata,19453,2020-07-01
scanpy,12499,2020-07-01
scirpy,658,2020-07-01
anndata,20904,2020-06-01
scanpy,12890,2020-06-01
scirpy,1060,2020-06-01
anndata,20495,2020-05-01
scanpy,14327,2020-05-01
scirpy,1206,2020-05-01
anndata,14823,2020-04-01
scanpy,9996,2020-04-01
scirpy,1500,2020-04-01
anndata,15285,2020-03-01
scanpy,11041,2020-03-01
scirpy,195,2020-03-01
anndata,11462,2020-02-01
scanpy,7967,2020-02-01
anndata,13633,2020-01-01
scanpy,9244,2020-01-01
anndata,9729,2019-12-01
scanpy,6747,2019-12-01
anndata,9919,2019-11-01
scanpy,6204,2019-11-01
anndata,10556,2019-10-01
scanpy,6856,2019-10-01
anndata,9825,2019-09-01
scanpy,6081,2019-09-01
